100	100	50	50
120	80	60	40
80	110	40	45
90	120	55	45
110	90	55	55
100	100	45	60
80	90	50	40
120	120	45	55
110	110	60	50
90	80	40	60
110	110	55	55
130	100	55	40
90	90	65	60
100	130	45	40
120	120	70	45
110	130	40	55
90	110	50	65
130	90	60	70
120	100	70	50
100	120	40	70
120	120	60	60
140	110	65	55
110	140	55	65
110	130	80	80
100	100	40	40
120	110	60	80
130	120	55	40
110	120	65	65
140	140	40	55
120	110	80	60
130	130	65	65
120	140	75	75
140	120	55	60
130	110	60	65
110	130	70	75
150	150	65	85
140	110	55	45
120	150	75	55
150	120	45	70
110	140	85	55
140	140	70	70
130	150	80	80
150	130	60	65
140	120	65	70
120	140	75	80
160	160	70	90
150	120	60	50
130	160	80	60
160	130	50	75
120	150	90	60
150	150	75	75
140	160	85	85
160	140	65	70
150	130	70	75
130	150	80	85
170	170	75	95
160	130	65	55
140	170	85	65
170	140	55	80
130	160	95	65
